127.0.0.1 - - [03/May/2024:10:56:02 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:05 +0900] "GET /member/list HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:07 +0900] "GET /main HTTP/1.1" 200 18008
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:07 +0900] "GET /Source/Restaurant_images/Chowall1.jpeg HTTP/1.1" 200 450614
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:07 +0900] "GET /Source/Restaurant_images/TodayUs1.jpeg HTTP/1.1" 200 219435
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:07 +0900] "GET /Source/header/logo/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:07 +0900] "GET /Bootstrap/css/styles.css HTTP/1.1" 200 236792
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:07 +0900] "GET /Source/Restaurant_images/Subway1.jpeg HTTP/1.1" 200 334757
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:07 +0900] "GET /Source/Restaurant_images/MamaKimbab1.jpeg HTTP/1.1" 200 220917
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:07 +0900] "GET /Source/Restaurant_images/JalimsNoodleAndRice1.jpeg HTTP/1.1" 200 477680
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:07 +0900] "GET /Source/Restaurant_images/Ujeong1.jpg HTTP/1.1" 200 569121
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:07 +0900] "GET /Source/Restaurant_images/Papajons1.jpeg HTTP/1.1" 200 387956
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:07 +0900] "GET /Source/Restaurant_images/JustPull1.jpeg HTTP/1.1" 200 426468
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:07 +0900] "GET /Source/Restaurant_images/BurgurKing1.jpeg HTTP/1.1" 200 380482
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:16 +0900] "GET /login HTTP/1.1" 200 6036
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:18 +0900] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:18 +0900] "GET /main HTTP/1.1" 200 18180
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:18 +0900] "GET /restaurant/stanby?userNo=1 HTTP/1.1" 200 13350
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:18 +0900] "GET /Source/Restaurant_images/PotteryVilage1.jpeg HTTP/1.1" 200 607483
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:18 +0900] "GET /Source/icons/like.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:18 +0900] "GET /Source/Restaurant_images/Screenshot%202024-04-18%20at%207.18.08%20PM.png HTTP/1.1" 200 50220
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:18 +0900] "GET /Source/Restaurant_images/Screenshot%202024-05-02%20at%202.05.29%20PM.png HTTP/1.1" 200 284743
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:18 +0900] "GET /Source/icons/dislike.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:18 +0900] "GET /Source/Restaurant_images/bird.jpg HTTP/1.1" 200 36889
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:34 +0900] "GET /restaurant/stanby?currentPageNo=2&userNo=1 HTTP/1.1" 200 13248
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:34 +0900] "GET /Source/Restaurant_images/Matgoul1.jpeg HTTP/1.1" 200 261335
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:34 +0900] "GET /Source/Restaurant_images/HanaKoreanNoodle1.jpeg HTTP/1.1" 200 226720
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:34 +0900] "GET /Source/Restaurant_images/Screenshot%202024-05-02%20at%203.40.45%20PM.png HTTP/1.1" 200 734264
0:0:0:0:0:0:0:1 - - [03/May/2024:10:56:43 +0900] "GET /main HTTP/1.1" 200 18180
