NO,RESTAURANT_NAME,INTRO,OPEN,ADDR,TEL,DETAILS,VOTE,HITS,CREATE_DATE,MODIFY_DATE,DELYN,STATE,FILE_NAME,FILE_SIZE
,마마김밥,"심심한 떡볶이, 적절한 김밥. 저녁엔 홀 식사 불가능함.","11:00 – 19:00
14:00 – 17:00 브레이크 타임",대전 중구 계룡로816번길 18 칸타빌 1층,042-536-3311,"배달, 포장, 주차 X",,0,2024-04-24 12:28:00.000,,N,ADMIT,MamaKimbab1.jpeg,220917
,초월짬뽕,짬뽕의 진수를 맛볼 수 있음,"11:00 – 20:00
15:00 – 17:00 브레이크 타임
19:30 라스트오더",대전 중구 동서대로1304번길 30,042-716-4115,"주차, 포장, WiFi, 단체석",,0,2024-04-25 12:28:00.000,,N,ADMIT,Chowall1.jpeg,450614
,옹기마을,삼겹살집인데 2명 이상 부대찌개도 맛있음. 밑반찬도 잘 나옴,11:00 – 22:00,대전 중구 계룡로816번길 16,042-526-3332,,,0,2024-04-26 12:28:00.000,,N,STANBY,PotteryVilage1.jpeg,607483
,우리의 오늘,규동이 맛있는 집. 양이 적어보이지만 막상 먹어보면 양이 많다.,"11:00 – 21:00
15:00 – 18:00 브레이크 타임
20:00 라스트오더",대전 중구 오류로74번길 40,042-522-0102,WiFi,,0,2024-04-27 12:28:00.000,,N,ADMIT,TodayUs1.jpeg,219435
,3일소고기국밥 대전본점,진한 국밥을 먹고 싶을때. 깍두기 맛있음,"09:00 – 21:00
15:00 – 17:00 브레이크 타임
20:20 라스트오더",대전 중구 계룡로 806,042-533-3198,"주차, 배달, 포장",,0,2024-04-28 12:28:00.000,,N,STANBY,3daysRiceSoup1.jpeg,488399
,써브웨이 대전오류점,써브웨이 근처에 있는 써브웨이,매일 08:00 – 23:00,대전 중구 계백로 1715,042-528-4312,"주차, 포장, WiFi",,0,2024-04-29 12:28:00.000,,N,ADMIT,Subway1.jpeg,334757
,잘임스국수앤덮밥,값이 싼데 맛있고 곱빼기가 무료,,대전 중구 계백로 1715,042-536-4782,,,0,2024-04-30 12:28:00.000,,N,ADMIT,JalimsNoodleAndRice1.jpeg,477680
,맛고을,학원 근처 갈만한 곳,매일 11:30 – 21:00,대전 중구 동서대로1322번길 17,042-223-8240,,,0,2024-05-01 12:28:00.000,,N,STANBY,Matgoul1.jpeg,261335
,유정식당,종류가 다양한 한식 뷔페,,대전 중구 오류로74번길 35,042-534-1143,,,0,2024-05-02 12:28:00.000,,N,ADMIT,Ujeong1.jpg,569121
,하나칼국수&김밥,칼국수 집인데 김밥천국처럼 메뉴가 다양함,07:00 – 20:00,대전 중구 동서대로1304번길 52,042-223-0288,"포장, 무선인터넷",,0,2024-05-03 12:28:00.000,,N,STANBY,HanaKoreanNoodle1.jpeg,226720
,버거킹 대전용두DT점 ,학원 근처 무난하게 갈만한곳,매일 10:00 – 24:00,대전 중구 계룡로 853,042-221-0332,"배달, 주차, 드라이브스루",,0,2024-05-03 12:28:00.001,,N,ADMIT,BurgurKing1.jpeg,380482
,파파존스 대전중구점,매주 금요일 피자 1+1 개꿀,매일 11:00 – 21:30,대전 중구 계룡로 849,042-223-8082,"포장, 배달",,0,2024-05-03 12:28:00.002,,N,STANBY,Papajons1.jpeg,387956
,땡겨유 콩나물해장국,"국밥, 김치 심지어 물조차 맛이 없음",11:00 – 22:00,대전 중구 계룡로 835-1,042-222-1379,"단체, 포장, WiFi",,0,2024-05-03 12:28:00.003,,N,ADMIT,JustPull1.jpeg,426468
